,Description,Measure,"Fatty acids, total polyunsaturated(g)Per Measure","Fiber, total dietary(g)Per 100 g","Fatty acids, total saturated(g)Per Measure","Carbohydrate, by difference(g)Per Measure","Sugars, total(g)Per Measure",Protein(g)Per Measure,"Sodium, Na(mg)Per Measure","Magnesium, Mg(mg)Per Measure","Phosphorus, P(mg)Per Measure","Calcium, Ca(mg)Per Measure","Manganese, Mn(mg)Per Measure","Potassium, K(mg)Per Measure","Selenium, Se(Âµg)Per Measure","Iron, Fe(mg)Per Measure","Fluoride, F(Âµg)Per Measure","Zinc, Zn(mg)Per Measure",Vitamin B-6 (mg) Per Measure,Riboflavin(mg)Per Measure,Vitamin B-12 (Âµg) Per Measure,Vitamin D2 (ergocalciferol) (Âµg) Per Measure,Vitamin D (IU) Per Measure,Pantothenic Acid(mg)Per Measure,"Vitamin C, Total Ascorbic Acid (mg) Per Measure",Vitamin K (phylloquinone) (Âµg) Per Measure,Vitamin E (alpha-tocopherol) (mg) Per Measure,"Folate, total(Âµg)Per Measure","Choline, total(mg)Per Measure",Niacin(mg)Per 100 g
116,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,,,350.0,,,,,,,,,,,,,,,,
117,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,,320.0,,,,,,,,,,,,,,,,
118,"Mangos, raw",1.0 cups pieces,,,,,,,,,,,,277.0,,,,,,,,,,,,,,,,
119,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,,,,,,,122.0,,,,,,,,,,,,,,,,
120,"Apples, raw, without skin",1.0 cups slices,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,
121,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,
122,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,,,,,,70.6,,,,,,,,,,,,,,,
123,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,,,,48.5,,,,,,,,,,,,,,,
124,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,,,,,,,39.8,,,,,,,,,,,,,,,
125,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,,,,,,,39.3,,,,,,,,,,,,,,,
126,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,,,,,,,28.7,,,,,,,,,,,,,,,
127,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,
128,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,
129,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,
130,"Mangos, raw",1.0 cups pieces,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
131,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,,,,,,3.39,,,,,,,,,,,,,,
132,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,,,,,,,3.29,,,,,,,,,,,,,,
133,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,,,,,,,,2.09,,,,,,,,,,,,,,
134,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,,,,,,,1.46,,,,,,,,,,,,,,
135,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,,,,,,,,1.36,,,,,,,,,,,,,,
136,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,
137,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,,,,,0.65,,,,,,,,,,,,,,
138,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,
139,"Mangos, raw",1.0 cups pieces,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,
140,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,
141,"Apples, raw, without skin",1.0 cups slices,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,
142,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,,,,,,,,,,4.07,,,,,,,,,,,,
143,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,
144,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,,,,,,,,,,0.89,,,,,,,,,,,,
145,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,
146,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,
147,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,
148,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,
149,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,
150,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,
151,"Mangos, raw",1.0 cups pieces,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,
152,"Apples, raw, without skin",1.0 cups slices,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,
153,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,,,,,,,,,,,0.834,,,,,,,,,,,
154,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,,,,,,,,,,,0.518,,,,,,,,,,,
155,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,,,,,,,,,,,0.473,,,,,,,,,,,
156,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,,,,,,,0.274,,,,,,,,,,,
157,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,,,,,,,,,,0.258,,,,,,,,,,,
158,"Mangos, raw",1.0 cups pieces,,,,,,,,,,,,,,,,,0.196,,,,,,,,,,,
159,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,,,,,,,,0.188,,,,,,,,,,,
160,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,,,,,,,,,,0.118,,,,,,,,,,,
161,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,,,,,,,,,,,,0.078,,,,,,,,,,,
162,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,,,,,,,,,0.043,,,,,,,,,,,
163,"Apples, raw, without skin",1.0 cups slices,,,,,,,,,,,,,,,,,0.041,,,,,,,,,,,
164,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,,,,,,,,,,,,0.349,,,,,,,,,,
165,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,,,,,,,,,,,0.198,,,,,,,,,,
166,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,,,,,,,,,,,0.149,,,,,,,,,,
167,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,,,,,,,,,,,,0.135,,,,,,,,,,
168,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,,,,,,,,,,,,0.104,,,,,,,,,,
169,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,,,,,,,,,,0.089,,,,,,,,,,
170,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,,,,,,,,,,,,,0.082,,,,,,,,,,
171,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,,,,,,,,0.076,,,,,,,,,,
172,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,,,,,,,,,0.073,,,,,,,,,,
173,"Mangos, raw",1.0 cups pieces,,,,,,,,,,,,,,,,,,0.063,,,,,,,,,,
174,"Apples, raw, without skin",1.0 cups slices,,,,,,,,,,,,,,,,,,0.031,,,,,,,,,,
175,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,,,,,,,,,,,,,3.81,,,,,,,,,
176,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,,,,,,,,,2.92,,,,,,,,,
177,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,,,,,,,,,,,,,1.86,,,,,,,,,
178,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,,,,,,,,,,1.83,,,,,,,,,
179,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,
180,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,,,,,,,,,,,539.0,,,,,,,
181,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,,,,,,,,,,,,144.0,,,,,,,
182,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,,,,,,,,,,,,,,,,1.765,,,,,,
183,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,,,,,,,,,,,,1.413,,,,,,
184,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,,,,,,,,,,,,,,,0.792,,,,,,
185,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,,,,,,,,,,,,,,,,0.709,,,,,,
186,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,,,,,,,,,,,,,0.565,,,,,,
187,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,,,,,,,,,,,,,,,,0.412,,,,,,
188,"Mangos, raw",1.0 cups pieces,,,,,,,,,,,,,,,,,,,,,,0.325,,,,,,
189,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,,,,,,,,,,,,,,0.291,,,,,,
190,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,
191,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,,,,,,,,,,,,,,,0.118,,,,,,
192,"Apples, raw, without skin",1.0 cups slices,,,,,,,,,,,,,,,,,,,,,,0.078,,,,,,
193,"Mangos, raw",1.0 cups pieces,,,,,,,,,,,,,,,,,,,,,,,60.1,,,,,
194,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,,,,,,,,,,,,,,,20.1,,,,,
195,"Apples, raw, without skin",1.0 cups slices,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,
196,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,
197,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,
198,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,
199,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,
200,"Mangos, raw",1.0 cups pieces,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,
201,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,
202,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,
203,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,
204,"Apples, raw, without skin",1.0 cups slices,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,
205,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,
206,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,,,,,,,,,,,,,,,,,2.12,,,
207,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,,,,,,,,,,,,,,,1.98,,,
208,"Mangos, raw",1.0 cups pieces,,,,,,,,,,,,,,,,,,,,,,,,,1.49,,,
209,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,
210,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,
211,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,
212,"Apples, raw, without skin",1.0 cups slices,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,
213,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,
214,"Mangos, raw",1.0 cups pieces,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,
215,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,
216,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,
217,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,
218,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,
219,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,
220,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,
221,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,
222,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,
223,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,,,,,,,,,,,,,,,,,55.1,
224,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3,
225,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,
226,"Mangos, raw",1.0 cups pieces,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,
227,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,
228,"Apples, raw, without skin",1.0 cups slices,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,
229,"Apples, raw, without skin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091
230,"Apples, raw, without skin, cooked, boiled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095
231,"Apples, raw, without skin, cooked, microwave",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061
232,"Bananas, raw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.665
233,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.799
234,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.07
235,"English muffins, whole grain white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.105
236,"Fish, salmon, coho, wild, cooked, moist heat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.779
237,"Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
238,"Fish, tilapia, raw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.903
239,"Fish, trout, rainbow, farmed, cooked, dry heat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.646
240,"Fish, tuna, skipjack, fresh, cooked, dry heat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.756
241,"Mangos, raw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.669
242,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.691
243,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.537
244,"Snacks, tortilla chips, plain, white corn, salted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.838
245,"Tomatoes, red, ripe, canned, stewed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.714
